"","precio","dimensiones_m2","habitaciones","baños","amueblado","parking","trastero","balTerraza"
"1",350,60,1,1,1,0,0,0
"2",275,116,2,1,1,0,0,0
"3",460,90,3,2,0,0,0,0
"4",600,122,6,2,0,0,0,1
"5",500,100,3,2,0,0,0,1
"6",445,90,3,2,1,0,0,0
"7",450,120,4,2,0,0,1,1
"8",550,126,3,1,0,0,1,1
"9",450,85,2,2,0,0,0,1
"10",350,72,3,1,0,0,0,1
"11",350,42,1,1,0,0,0,0
"12",550,87,0,1,0,1,0,0
"13",500,75,0,1,0,1,0,0
"14",450,111,3,1,0,0,0,0
"15",350,80,2,1,1,0,0,0
"18",450,90,3,2,1,0,0,0
"20",595,80,0,2,0,1,0,0
"21",390,145,4,1,0,0,0,0
"22",300,80,3,2,0,0,0,1
"24",430,90,4,1,0,0,1,1
"25",590,130,8,1,0,0,0,1
"26",350,80,3,1,1,0,0,0
"27",375,46,1,1,1,0,0,0
"28",600,95,3,2,0,0,0,1
"29",500,92,3,2,1,0,0,0
"30",375,52,1,1,1,0,0,0
"31",375,60,1,1,1,0,0,0
"32",650,115,4,2,1,0,0,0
"33",400,90,3,1,0,0,0,1
"36",300,80,3,2,0,0,0,0
"37",500,136,3,2,0,0,1,0
"38",450,80,3,2,1,0,0,0
"39",600,80,2,1,1,0,0,0
"40",450,98,3,1,0,0,0,0
"41",450,135,3,2,0,0,0,1
"42",380,100,4,2,1,0,0,0
"43",450,88,2,2,0,0,0,1
"44",525,120,4,2,1,0,0,0
"45",390,65,2,1,0,0,0,1
"46",380,70,2,1,0,0,0,0
"47",450,90,3,1,1,0,0,0
"48",450,80,2,1,0,0,0,0
"49",450,80,2,2,0,0,0,0
"50",350,60,1,1,1,0,0,0
"51",400,80,2,1,0,0,0,1
"52",650,160,5,2,0,0,0,1
"53",500,200,4,1,0,0,1,1
"54",400,90,3,1,1,0,0,0
"55",540,85,2,1,0,0,0,1
"56",380,60,1,1,1,0,0,0
"57",550,100,3,2,1,0,0,0
"58",400,65,2,1,1,0,0,0
"59",400,75,2,1,0,0,0,1
"60",400,100,3,2,0,0,0,1
"61",600,120,4,1,1,0,0,0
"62",500,80,4,2,1,0,0,0
"63",400,67,2,1,0,0,0,1
"64",500,100,3,1,0,0,0,1
"65",375,60,2,1,0,0,0,1
"66",450,160,4,1,0,1,0,0
"67",425,120,4,2,0,0,0,1
"68",480,80,2,1,1,0,0,0
"69",400,70,2,1,1,0,0,0
"70",375,60,1,1,0,0,0,1
"71",400,90,2,1,0,0,0,1
"72",475,100,4,2,0,1,0,0
"73",400,100,3,1,0,0,0,1
"74",450,110,3,2,1,0,0,0
"75",350,75,2,1,1,0,0,0
"76",500,110,4,2,0,1,0,1
"77",450,100,2,2,1,0,0,0
"78",400,200,4,2,1,0,0,0
"79",420,80,2,1,0,0,0,1
"80",450,90,3,2,0,0,0,1
"81",590,100,4,2,0,0,0,1
"82",400,90,3,1,1,0,0,0
"83",425,105,3,2,0,1,0,1
"84",325,70,3,1,1,0,0,0
"85",400,80,2,1,0,1,0,1
"86",350,90,3,1,0,0,0,1
"87",400,80,3,2,1,0,0,0
"88",325,90,3,1,0,0,0,1
"89",300,65,2,1,1,0,0,0
"90",430,75,2,1,0,0,0,1
"91",600,110,4,2,1,0,0,0
"92",400,120,4,2,0,0,0,1
"93",400,90,2,1,0,0,0,1
"94",400,75,2,1,1,0,0,0
"95",415,68,2,1,1,0,0,0
"96",400,71,2,1,1,0,0,0
"97",450,100,3,2,0,1,0,1
"98",400,100,3,2,1,0,0,0
"99",400,80,2,2,0,0,0,1
"100",325,77,2,1,1,0,0,0
"101",400,120,3,2,0,0,0,1
"102",400,105,3,1,0,0,1,1
"103",400,90,2,2,0,0,0,1
"104",400,90,0,1,0,0,0,0
"105",450,82,3,1,1,0,0,0
"106",350,90,3,1,1,0,0,0
"107",400,90,3,1,0,0,0,1
"108",400,90,3,1,0,0,0,1
"109",475,112,3,2,1,0,0,0
"110",450,111,3,2,0,1,0,1
"111",400,75,2,1,1,0,0,0
"112",380,50,1,1,0,1,0,1
"114",500,80,2,1,0,1,0,0
"115",500,78,3,2,0,1,0,0
"116",450,90,4,2,0,1,0,1
"117",350,130,3,1,0,1,0,1
"119",380,60,1,1,0,1,0,0
"121",400,85,2,1,0,0,0,1
"122",450,90,3,1,0,0,0,1
"123",400,90,3,2,0,1,1,1
